provincia,region,localidad,de0a9Mbps,de10a20Mbps,de21a49Mbps,de50a99Mbps,de100a199Mbps,de200a499Mbps,de500a1024Mbps,otros,adsl,cableModem,dialUp,fibraOptica,otros_tec,satelital,wimax,wireless,totalTecnologia,latitud,longitud
Buenos Aires,Provincia de Buenos Aires,Gardey,218,27,1,0,0,0,0,35,0,0,0,225,35,0,0,21,281,-37.2823323375205,-59.3630004748452
Buenos Aires,Provincia de Buenos Aires,Garín,1001,1215,1965,5330,5201,694,253,1915,4638,9481,3,3422,2,1,0,11,17558,-34.428785229178,-58.7361732596546
Buenos Aires,Provincia de Buenos Aires,General Arenales,1463,24,9,0,0,0,0,0,0,883,1,99,0,0,0,512,1495,-34.3044679711077,-61.3056277788216
Buenos Aires,Provincia de Buenos Aires,General Belgrano,1115,1184,438,117,156,8,0,1,513,1507,5,2,0,1,0,894,2922,-35.7694577358026,-58.4944615102033
Buenos Aires,Provincia de Buenos Aires,General Conesa,286,36,0,0,0,0,0,9,40,227,0,0,0,0,0,63,330,-36.5208587437818,-57.3249371025508
Buenos Aires,Provincia de Buenos Aires,General Daniel Cerri (Est. General Cerri),94,312,28,767,602,70,2,0,373,1481,1,0,0,0,0,20,1875,-38.7136524854986,-62.3924221653991
Buenos Aires,Provincia de Buenos Aires,General Guido,233,88,209,0,0,0,0,0,0,0,1,302,0,0,0,228,531,-36.6431651777017,-57.7905019037041
Buenos Aires,Provincia de Buenos Aires,General Juan Madariaga,644,1075,3175,91,0,0,0,1,460,486,8,4033,0,1,0,0,4988,-36.9967730012079,-57.1374769071298
Buenos Aires,Provincia de Buenos Aires,General La Madrid,2055,1441,428,19,3,0,0,0,2510,0,74,1148,74,0,0,265,4071,-37.2503992475804,-61.2595794125711
Buenos Aires,Provincia de Buenos Aires,General Las Heras (Est. Las Heras),540,2147,308,41,19,0,0,0,272,889,3,1890,1,0,0,2,3057,-34.9267739074255,-58.9453407851291
Buenos Aires,Provincia de Buenos Aires,General Lavalle,360,0,0,0,4,0,0,68,0,358,0,4,0,1,0,69,432,-36.4080851872455,-56.9433553335054
Buenos Aires,Provincia de Buenos Aires,General Mansilla (Est. Bartolomé Bavio),98,23,286,123,0,0,0,423,0,544,0,409,0,0,0,0,953,-35.0816834306862,-57.7469762592144
Buenos Aires,Provincia de Buenos Aires,General O'Brien,435,0,0,0,0,0,0,0,321,0,0,83,0,0,0,31,435,-34.9067979091956,-60.7597838238054
Buenos Aires,Provincia de Buenos Aires,General Pacheco,421,1001,214,6116,6906,1469,248,1187,2148,12087,1,3279,7,2,0,2,17526,-34.4523088119909,-58.6448936162046
Buenos Aires,Provincia de Buenos Aires,General Pinto,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,4,-34.764155990724,-61.8900674920122
Buenos Aires,Provincia de Buenos Aires,General Pirán,31,271,10,0,0,0,0,0,0,0,1,712,0,0,0,75,788,-37.2778606745914,-57.7740148170475
Buenos Aires,Provincia de Buenos Aires,General Rivas,210,0,0,0,0,0,0,0,96,0,0,0,0,0,0,114,210,-34.6100370680434,-59.7504234207746
Buenos Aires,Provincia de Buenos Aires,General Rodríguez,1229,1840,2291,5122,4002,726,148,2,1293,10535,21,3249,4,1,0,505,15608,-34.6079239021063,-58.950282039134
Buenos Aires,Provincia de Buenos Aires,General Rojo,0,599,0,0,0,0,0,1,0,0,0,608,0,1,0,0,609,-33.4758683523604,-60.2874270636731
Buenos Aires,Provincia de Buenos Aires,General Villegas (Est. Villegas),202,185,34,604,2578,192,4,0,340,24,0,3388,0,1,0,46,3799,-35.0338419886306,-63.0146637107531
Buenos Aires,Provincia de Buenos Aires,Gerli,65,997,3251,9838,7287,1187,145,0,45,12366,14,10319,3,0,0,0,22747,-34.6909571502715,-58.3838628492162
Buenos Aires,Provincia de Buenos Aires,Germania (Est. Mayor José Orellano),1112,0,0,0,0,0,0,0,1112,0,0,0,0,0,0,0,1112,-34.576111833277,-62.0518306894073
Buenos Aires,Provincia de Buenos Aires,Girodias,2,0,0,0,0,0,0,0,47,0,0,0,0,0,0,2,49,-36.367451804132,-62.3569660936558
Buenos Aires,Provincia de Buenos Aires,Glew,123,359,11843,4129,2887,396,132,1,55,7978,10,11652,12,0,0,54,19761,-34.8860114180413,-58.3818301842512
Buenos Aires,Provincia de Buenos Aires,Gobernador Julio A. Costa,14,335,19,3703,3590,270,112,0,13,7558,6,471,0,0,0,0,8048,-34.8152397261388,-58.3082334245906
Buenos Aires,Provincia de Buenos Aires,Gobernador Udaondo,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,-35.3003271130454,-58.5943053657455
Buenos Aires,Provincia de Buenos Aires,Gobernador Ugarte,179,1,0,1,0,0,0,0,0,0,0,0,0,0,0,181,181,-35.1643973648093,-60.0813577815069
Buenos Aires,Provincia de Buenos Aires,Gonzalez Catán,6045,5486,6877,15113,13795,1103,591,1,119,31528,27,15835,33,7,0,1502,49051,-34.7724652485211,-58.6404861634561
Buenos Aires,Provincia de Buenos Aires,González Moreno,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,-35.5576529256075,-63.3815800402317
Buenos Aires,Provincia de Buenos Aires,Gorchs,26,2,0,0,0,0,0,0,0,0,0,0,0,1,0,27,28,-35.6733729629116,-58.9582999568816
Buenos Aires,Provincia de Buenos Aires,Gorostiaga,56,0,0,0,0,0,0,0,55,0,0,0,0,0,0,2,57,-34.839127302807,-59.8646671984292
Buenos Aires,Provincia de Buenos Aires,Gowland,44,0,0,0,2,0,0,0,0,0,0,5,0,0,0,101,106,-34.652429281715,-59.3523186300108
Buenos Aires,Provincia de Buenos Aires,Goyena,0,44,0,0,0,0,0,0,0,0,0,44,0,0,0,0,44,-37.7192518502325,-62.6071296330023
Buenos Aires,Provincia de Buenos Aires,Grand Bourg,3080,3840,2103,2661,2987,429,217,41,3582,6382,0,5342,1,0,0,0,15307,-34.4869935800875,-58.7286750953502
Buenos Aires,Provincia de Buenos Aires,Gregorio De Laferrere,1393,2215,18561,12162,12443,1004,544,0,88,26889,15,19628,29,0,0,1451,48100,-34.7468379962284,-58.5925328858169
Buenos Aires,Provincia de Buenos Aires,Guaminí,405,15,0,0,0,0,0,0,0,0,0,75,0,0,0,345,420,-37.0120881308673,-62.4166857296556
Buenos Aires,Provincia de Buenos Aires,Guernica,195,531,6351,7163,5260,430,232,2,77,13644,8,6236,8,0,0,113,20086,-34.9230592108536,-58.3650272662643
Buenos Aires,Provincia de Buenos Aires,Guerrico,115,0,0,0,0,0,0,0,0,61,0,0,0,0,0,54,115,-33.6745849638169,-60.4006865938611
Buenos Aires,Provincia de Buenos Aires,Guillermo E. Hudson,72,328,2434,7491,4486,788,174,2,133,6657,2,8962,3,0,0,0,15757,-34.7897594857633,-58.1439692638183
Buenos Aires,Provincia de Buenos Aires,Haedo,243,591,9613,6575,5492,1017,133,3,277,9887,102,13355,107,0,0,33,23761,-34.6440661183216,-58.5978176171897
Buenos Aires,Provincia de Buenos Aires,Hale,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,-36.0010429767568,-60.8534495072374
Buenos Aires,Provincia de Buenos Aires,Henderson,870,52,0,0,0,0,0,0,113,0,1,0,0,0,0,810,924,-36.2994630370091,-61.7178401805261
Buenos Aires,Provincia de Buenos Aires,Hinojo,7,6,0,0,0,0,0,0,13,0,0,0,0,1,0,0,14,-36.8805120719062,-60.1771940245473
